tahun,sub_holding,sub_holding_original,unit_operasi,wilayah_kerja,luasan_offsite_ha,luasan_overlap_ha,luasan_total_ha,location_adjacent,location_overlapped,biodiversity_score,biodiversity_category,fauna_names,fauna_released_count,flora_names
2023,SH Upstream,SH Upstream,Region 5,,,,,,,,,,,
2024,SH Downstream,SH R&P,GRR Tuban,,,,,,,,,,,
2024,SH Downstream,SH C&T,MOR I,,472.28,52.48,524.76,,,,,,,
2024,SH Downstream,SH C&T,MOR II,,777.555,86.395,863.95,,,,,,,
2024,SH Downstream,SH C&T,MOR III,,538.01,59.78,597.79,,,,,,,
2024,SH Downstream,SH C&T,MOR IV,,672.59,74.73,747.32,,,,,,,
2024,SH Downstream,SH C&T,MOR V,,611.09,67.9,678.99,,,,,,,
2024,SH Downstream,SH C&T,MOR VI,,541.359,60.151,601.51,,,,,,,
2024,SH Downstream,SH C&T,MOR VII,,509.778,56.642,566.42,,,,,,,
2024,SH Downstream,SH C&T,MOR VIII,,,,,,,,,,,
2024,SH Downstream,SH R&P,PT KPB,,,,,,,,,,,
2024,SH Downstream,SH IML,PT PIS,,,,,,,,,"a. Hiu Paus di Papua
b. Fragment Terumbu Karang di Baubau",1053,Mangrove (+10000)
2024,SH Downstream,SH IML,PT PTK,,,14.67,14.67,,,2.379,Sedang,,,konservasi Flora
2024,SH Downstream,SH C&T,PTPL,,,,,,,,,,,
2024,SH Downstream,SH C&T,PTPN,,,,,,,,,,,
2024,SH Downstream,SH C&T,PTPR,,,,,,,,,,,
2024,SH Downstream,SH IML,Pertamina Energy Terminal,,,,,yes,no,3.356,Tinggi,,,"FT Pulau Sambu : Mangrove. Wilayah Kerja: Sei Beduk, Batam"
2024,SH Downstream,SH C&T,Project,,,,,,,,,,,
2024,SH Downstream,SH R&P,RCC Blgn,,,,,,,,,,,
2024,SH Downstream,SH R&P,RDMP Blgn,,,,,,,,,,,
2024,SH Downstream,SH R&P,RDMP Clcp,,,,,,,,,,,
2024,SH Downstream,SH R&P,RU II Dumai,,70.45,,70.45,,,3.29,Tinggi,"1. Elang laut perut putih (Haliaeetus leucogaster) - LC
2. Elang ular bido (Spilornis cheela) - LC",,"1. Dipterocarpus cinereus (CR),
2. Shorea platyclados (NT)"
2024,SH Downstream,SH R&P,RU II SPK,,37.1,,37.1,,,3.47,Tinggi,"1. Elang Tikus - VU
2. Kerak Kerbau - VU",,"1. Kantong semar (Critically Endangered)
2. Blangeran (Vulnerable)"
2024,SH Downstream,SH R&P,RU III,,227.91,,227.91,,,3.059,Tinggi,"1. Belida juvenile/dewasa dan anakan (Chitala lopis). Status IUCN: Extinct (EX)
2. Monyet Ekor Panjang (Macaca fascicularis). Status IUCN: Endangered (EN)",,"1. Araucaria heterophylla (Cemara norflok). IUCN Redlist : VU (Vulnerable)
2. Hyophorbe lagenicaulis (Palem botol). IUCN Redlist : CR (Critically Endangered)"
2024,SH Downstream,SH R&P,RU IV,,4112.1,,4112.1,,,3.497,Tinggi,"1. Lutung Jawa (Trachypithecus auratus); IUCN Redlist : VU
2. Kucing Bakau (Prionailurus vivercinus); IUCN Redlist : EN",,"1. Merbau (Intsia bijuga (Colebr.) Kuntze); IUCN Redlist : NT
2. Jati (Tectona grandis L.f.); IUCN Redlist : EN"
2024,SH Downstream,SH R&P,RU V,,45,,45,,,2.74,Sedang,"1. Bondol rawa (Lonchura malacca) – LC (Redlist_IUCN)
2. Cabai bunga (Dicaeum trigonostigma) – LC (Redlist_IUCN)",,"1. Akasia ( Acacia auriculiformis) – LC (Redlist_IUCN)
2. Jambu mete (Anacardium occidentale) – LC (Redlist_IUCN)"
2024,SH Downstream,SH R&P,RU VI,,15.11,,15.11,,,3.145,Tinggi,1. Rusa Jawa ( Cervus timorrensis),4,"1. Glodokan tiang (Polyalthia longifolia (Sonn.) Thwaites)
2. Manoa (Annona reticulata L.)"
